requirement_id,source_doc,source_section,title,statement,priority,acceptance_method
REQ-PRIN-01,SRC-REQ-SPEC,3.1,Problem-driven not method-driven,"System fixes question + evidence need before choosing data/method; must not force every question into an existing module.",MUST,"design review + alignment audit test"
REQ-PRIN-02,SRC-REQ-SPEC,3.2,Data decides feasibility,"Method choice based on real data structure/design/metadata; system may output 'data cannot reliably answer'.",MUST,"compatibility decision test + METHOD_NOT_APPLICABLE terminal"
REQ-PRIN-03,SRC-REQ-SPEC,3.3,Agent reasons / tools do facts,"Dataset IDs, paper IDs, file existence, run status must come from tools, never asserted by an LLM.",MUST,"validation guard + tool-recorded discovery"
REQ-PRIN-04,SRC-REQ-SPEC,3.4,Schema-bound,"Every key stage produces a structured object; prose cannot replace structured output.",MUST,"schema validation tests"
REQ-PRIN-05,SRC-REQ-SPEC,3.5,Plan/execute/audit separation,"Planner cannot approve own plan; executor cannot approve own result; reporter cannot create evidence or raise claim level.",MUST,"agent_protocol handoff tests + report constraint test"
REQ-PRIN-06,SRC-REQ-SPEC,3.6,Evidence over story,"Negative/conflicting/failed/inconclusive results retained; no cherry-picking positives.",MUST,"evidence synthesis retains negatives test"
REQ-PRIN-07,SRC-REQ-SPEC,3.7,Traceability first,"Every figure/number/claim traces question->subquestion->dataset->task->method->run->artifact->QC->evidence->claim.",MUST,"traceability_matrix + alignment audit"
REQ-PRIN-08,SRC-REQ-SPEC,3.8,Conservative failure,"On uncertainty: lower claim level, flag human review, local rerun, or stop; never fabricate to 'finish'.",MUST,"failure-path tests -> legal terminals"
REQ-OBJ-01,SRC-REQ-SPEC,5.1,ResearchSpec object,"Formal understanding of user question with the listed minimum fields.",MUST,"schema present + field coverage"
REQ-OBJ-02,SRC-REQ-SPEC,5.2,SubQuestion object,"Verifiable subquestion with required_evidence_types/success+failure criteria/allowed_claim_level/priority.",MUST,"schema field coverage (currently partial)"
REQ-OBJ-03,SRC-REQ-SPEC,5.3,EvidencePlan object,"Per-subquestion evidence needs incl minimum_replication/validation_strategy/stop_conditions.",MUST,"schema field coverage (currently partial)"
REQ-OBJ-04,SRC-REQ-SPEC,5.4,ResourceCandidate object,"Candidate dataset/paper/annotation/local resource.",MUST,"schema present"
REQ-OBJ-05,SRC-REQ-SPEC,5.5,DatasetProfile object,"Tool-verified dataset facts (samples/platform/species/tissue/metadata/files/license).",MUST,"schema + verification adapter"
REQ-OBJ-06,SRC-REQ-SPEC,5.6,DatasetFeasibilityReport object,"Usable/conditionally/not/insufficient decision per subquestion.",MUST,"object modeled (currently MISSING)"
REQ-OBJ-07,SRC-REQ-SPEC,5.7,DatasetManifest object,"Locked datasets/samples/exclusions/checksums; change -> new version.",MUST,"immutable locked manifest test"
REQ-OBJ-08,SRC-REQ-SPEC,5.8,MethodContract object,"Method applicability + scientific boundary incl claim_capability + forbidden_conditions.",MUST,"contract enforced by compiler/registry"
REQ-OBJ-09,SRC-REQ-SPEC,5.9,CompatibilityDecision object,"Records method<->dataset<->subquestion compatibility + reason.",MUST,"deterministic compatibility test"
REQ-OBJ-10,SRC-REQ-SPEC,5.10,WorkflowPlan as explicit DAG,"Explicit task graph: tasks, dependencies, inputs, outputs, gates.",MUST,"DAG acyclicity + dependency-by-id (currently partial)"
REQ-OBJ-11,SRC-REQ-SPEC,5.11,TaskPacket subtypes,"Analysis/Engineering/Review/DataPreparation task packets.",MUST,"packet schemas (DataPreparation MISSING)"
REQ-OBJ-12,SRC-REQ-SPEC,5.12,TaskRun object,"Run instance: env/params/logs/exit/resources/outputs.",MUST,"schema field coverage (currently partial)"
REQ-OBJ-13,SRC-REQ-SPEC,5.13,ArtifactManifest object,"Registers every file with checksum/type/source/producer/status.",MUST,"checksum-addressed artifact test"
REQ-OBJ-14,SRC-REQ-SPEC,5.14,QCReport object,"Four-layer QC results with reasons + scope.",MUST,"four-layer QC test"
REQ-OBJ-15,SRC-REQ-SPEC,5.15,EvidenceItem object,"QC-passed observation -> structured evidence with allowed_claim_level.",MUST,"evidence admission gate test"
REQ-OBJ-16,SRC-REQ-SPEC,5.16,Claim object,"Bounded statement with level/opposing evidence/scope/uncertainty.",MUST,"claim ceiling test"
REQ-OBJ-17,SRC-REQ-SPEC,5.17,QuestionAlignmentReport object,"Checks final claims still answer original question; scope drift / over-claim.",MUST,"alignment audit test (drift+over-claim reject)"
REQ-OBJ-18,SRC-REQ-SPEC,5.18,ReproductionBundleManifest object,"Files/order/env/expected outputs/comparison rules.",MUST,"reproduction bundle test"
REQ-STG-00,SRC-REQ-SPEC,stage 0,Intake + project init,"Generate project_id/request_id; store original text immutably; detect multi-question; flag sensitive data; emit OriginalRequest/ProjectPolicy/initial event.",MUST,"intake event + immutable original (OriginalRequest/Policy MISSING)"
REQ-STG-02,SRC-REQ-SPEC,stage 2,Scope + ontology normalization,"Map NL entities to standard vocab; keep original term + mapping confidence; low-confidence not silently treated as fact.",SHOULD,"OntologyMapping objects (MISSING)"
REQ-STG-05,SRC-REQ-SPEC,stage 5,Resource discovery via real tools,"Discover candidates through real tools; record tool/query/filters/time/IDs/source/raw summary; forbid LLM-memory IDs.",MUST,"SearchAuditLog + real adapter (RESERVED)"
REQ-STG-06,SRC-REQ-SPEC,stage 6,Resource verification + metadata extraction,"Confirm candidate exists; extract accession/version/samples/donor/grouping/files/license.",MUST,"verification adapter (RESERVED)"
REQ-STG-07,SRC-REQ-SPEC,stage 7,Feasibility + dataset locking,"Feasibility checks (bio design / sc / bulk); ACCEPT/REJECT/...; lock manifest; later change -> new version.",MUST,"feasibility + lock test"
REQ-STG-10,SRC-REQ-SPEC,stage 10,Pre-exec gating + automation levels,"Check inputs/checksums/env/quota/network policy/isolated output/frozen seed; A0-A3 approval levels; eng task cannot touch main/audited results.",MUST,"automation-level gate evaluator (policy layer MISSING; A1 default)"
REQ-STG-11,SRC-REQ-SPEC,stage 11,Task execution + full TaskRun,"Run in controlled env; registered/workflow/engineering workers; full run record.",MUST,"real execution test (isolated worker PARTIAL)"
REQ-STG-12,SRC-REQ-SPEC,stage 12,Artifact registration + integrity,"Register outputs; integrity checks (expected present, non-empty, schema columns, allowed dir, no undeclared files).",MUST,"artifact registry test"
REQ-STG-13,SRC-REQ-SPEC,stage 13,Four-layer QC,"Execution/Data/Statistical/Biological QC; decision keeps reason + scope; not bare boolean.",MUST,"four-layer QC test"
REQ-STG-14,SRC-REQ-SPEC,stage 14,EvidenceItem generation,"Only QC-passed results become evidence; keep opposing; single dataset not auto 'replicated'.",MUST,"evidence gate test"
REQ-STG-15,SRC-REQ-SPEC,stage 15,Cross-dataset synthesis + Claim,"Synthesize EvidenceItems into claims not exceeding evidence ceiling; no auto-causal.",MUST,"claim ceiling test"
REQ-STG-16,SRC-REQ-SPEC,stage 16,Original-question alignment audit,"Coverage/scope fidelity/traceability/ceiling/omission; blocking issue -> no clean COMPLETED.",MUST,"alignment audit test"
REQ-STG-17,SRC-REQ-SPEC,stage 17,Constrained report,"Report only from audited claims/evidence; min content list; MD/HTML/PDF + JSON.",MUST,"report-from-claims test (HTML/PDF MISSING)"
REQ-STG-18,SRC-REQ-SPEC,stage 18,Reproduction bundle,"Bundle with the listed structure; consistency levels BITWISE..NOT_REPRODUCED.",MUST,"bundle compare test"
REQ-SM-01,SRC-REQ-SPEC,7,Authoritative state machine,"State advances only via events; each change records actor/in/out/time/reason; rebuildable from immutable log; no silent JSON edit.",MUST,"event-replay-equals-state test"
REQ-SM-02,SRC-REQ-SPEC,7,Legal terminal states,"COMPLETED/PARTIALLY_COMPLETED/INSUFFICIENT_DATA/METHOD_NOT_APPLICABLE/INCONCLUSIVE/CONFLICTING_EVIDENCE/FAILED/CANCELLED/REQUIRES_HUMAN_DECISION.",MUST,"terminal coverage (PARTIALLY_COMPLETED/REQUIRES_HUMAN_DECISION partial)"
REQ-SM-03,SRC-REQ-SPEC,7,Local rollback to checkpoint,"After failure can locally roll back to nearest valid checkpoint.",SHOULD,"resume idempotency test (partial rerun MISSING)"
REQ-BND-01,SRC-REQ-SPEC,8.2,Deterministic tools own facts,"DB query/download/checksum/stats/registration/schema-validation/event-log done by deterministic tools.",MUST,"deterministic core tests"
REQ-BND-02,SRC-REQ-SPEC,8.3,Engineering-worker bounds,"Codex-style unit cannot change question, loosen stats, pick favorable results, self-approve, write claims, or auto-upgrade correlation to causation.",MUST,"agent_protocol forbidden_actions (execution path MISSING)"
REQ-FAIL-01,SRC-REQ-SPEC,9.1,Failure taxonomy,"Classify failures (INPUT/RESOURCE/DATA_ACCESS/.../POLICY_FAILURE).",SHOULD,"failure classification (partial)"
REQ-FAIL-02,SRC-REQ-SPEC,9.2-9.3,Retry policy,"Auto-retry only transient errors; never auto-retry insufficient-sample/missing-donor/incompatible-method/off-topic/over-claim/policy.",MUST,"no-retry on scientific failure"
REQ-FAIL-03,SRC-REQ-SPEC,9.4,Partial rerun,"Rerun only affected subgraph, not full re-download/analysis on a param tweak.",SHOULD,"subgraph rerun (MISSING)"
REQ-SEC-01,SRC-REQ-SPEC,10,Project data policy + network allowlist,"Per-project data policy; network access allowlist.",MUST,"policy/allowlist layer (MISSING)"
REQ-SEC-02,SRC-REQ-SPEC,10,Worker IO confinement,"Workers read-only inputs + confined write dir.",MUST,"write-scope enforcement (PARTIAL)"
REQ-SEC-03,SRC-REQ-SPEC,10,Secret isolation,"API keys isolated; no restricted data to external models.",MUST,"secret handling (MISSING formal layer); D-05 honored"
REQ-SEC-04,SRC-REQ-SPEC,10,Sensitive-data scan before export,"Scan reproduction bundle for sensitive info before export.",MUST,"export sensitivity scan (MISSING)"
REQ-SEC-05,SRC-REQ-SPEC,10,Full tool/code-change audit,"Audit all tool calls and code changes; prevent eng worker editing main repo or audit records.",MUST,"audit log (event log present; tool-call audit partial)"
REQ-OBS-01,SRC-REQ-SPEC,11,Observability questions,"Project can answer: where/which task/which data+method/why waiting/why failed/retries/QC pass/pending review; minimum observable data list.",SHOULD,"observability layer (MISSING; CLI inspect partial)"
REQ-SCOPE-01,SRC-REQ-SPEC,12,v1 longitudinal slice scope,"v1 supports NL question, normalization, GEO-class discovery, one sc route + one bulk route, donor DEG, gene-set, enrichment, surface/secretome, basic cross-dataset, four-layer QC, evidence/claim/alignment, bundle export.",MUST,"slice coverage (bulk DEG done; others MISSING)"
REQ-SCOPE-02,SRC-REQ-SPEC,12,v1 non-goals,"v1 excludes arbitrary multi-omics fusion, auto causal inference, wet-lab loop, arbitrary formats, unbounded Codex method dev, unsupervised publication.",MUST,"scope-guard (claim ceiling + no auto-publish hard stop)"
REQ-IF-01,SRC-REQ-SPEC,15,Stable platform API,"Expose project/task/artifact/evidence/claim/approval/export/compare/audit APIs; run via API or CLI independent of any chat UI.",SHOULD,"API surface (CLI present; REST MISSING)"
REQ-ACC-01,SRC-REQ-SPEC,13.1,NL question intake,"User can pose a research question in natural language.",MUST,"e2e test"
REQ-ACC-02,SRC-REQ-SPEC,13.2,Verifiable ResearchSpec,"System produces a verifiable ResearchSpec.",MUST,"e2e + schema test"
REQ-ACC-03,SRC-REQ-SPEC,13.3,SubQuestion decomposition,"System decomposes into SubQuestions.",MUST,"planner test"
REQ-ACC-04,SRC-REQ-SPEC,13.4,EvidencePlan per subquestion,"System builds an EvidencePlan per subquestion.",MUST,"planner test"
REQ-ACC-05,SRC-REQ-SPEC,13.5,Real data discovery + verification,"System finds and verifies real data through tools.",MUST,"RESERVED real adapter (fixture only today)"
REQ-ACC-06,SRC-REQ-SPEC,13.6,DatasetFeasibilityReport,"System produces a DatasetFeasibilityReport.",MUST,"feasibility object (compat decision present; report object MISSING)"
REQ-ACC-07,SRC-REQ-SPEC,13.7,Dataset+sample locking,"System locks datasets and samples.",MUST,"dataset manifest lock test"
REQ-ACC-08,SRC-REQ-SPEC,13.8,Method via MethodContract,"System selects method per MethodContract.",MUST,"registry/compatibility test"
REQ-ACC-09,SRC-REQ-SPEC,13.9,Acyclic executable DAG,"System compiles an acyclic executable task DAG.",MUST,"compiler test (linear today; true DAG partial)"
REQ-ACC-10,SRC-REQ-SPEC,13.10,Isolated exec + full TaskRun,"Tasks run in isolated env with full TaskRun.",MUST,"execution test (isolation PARTIAL)"
REQ-ACC-11,SRC-REQ-SPEC,13.11,Outputs registered as artifacts,"All outputs registered as checksummed artifacts.",MUST,"artifact registry test"
REQ-ACC-12,SRC-REQ-SPEC,13.12,Four-layer QC complete,"Four-layer QC completes.",MUST,"QC test"
REQ-ACC-13,SRC-REQ-SPEC,13.13,Only gated results become evidence,"Only QC-gated results enter EvidenceItem.",MUST,"evidence gate test"
REQ-ACC-14,SRC-REQ-SPEC,13.14,Claims within evidence level,"Claims never exceed evidence level.",MUST,"claim ceiling test"
REQ-ACC-15,SRC-REQ-SPEC,13.15,Alignment catches drift/over-claim,"AlignmentReport detects at least one preset off-topic/over-claim error.",MUST,"alignment reject tests"
REQ-ACC-16,SRC-REQ-SPEC,13.16,Reports positives+negatives+unanswered,"System outputs positive, negative and unanswered items.",MUST,"report content test"
REQ-ACC-17,SRC-REQ-SPEC,13.17,Full reproduction bundle,"System generates a complete reproduction bundle.",MUST,"bundle test"
REQ-ACC-18,SRC-REQ-SPEC,13.18,Third-party reproducible,"Third party re-runs bundle and compares.",MUST,"validate BITWISE_IDENTICAL test"
REQ-ACC-19,SRC-REQ-SPEC,13.19,End-to-end traceability,"Any final figure/conclusion traces to data/params/run.",MUST,"traceability_matrix"
REQ-ACC-20,SRC-REQ-SPEC,13.20,Conservative terminal on insufficiency,"Insufficient data ends in INSUFFICIENT_DATA-class legal terminal.",MUST,"failure-path test"
