requirement_id,priority,current_capability,evidence,gap_description,work_packages
REQ-PRIN-01,MUST,PARTIAL,"alignment_auditor + problem-first pipeline","principle enforced in slice; needs full subquestion-driven planning",WP-07;WP-20
REQ-PRIN-02,MUST,EXISTING,"methods/registry.compatibility_decision + METHOD_NOT_APPLICABLE","extend to more modalities",WP-11;WP-10
REQ-PRIN-03,MUST,EXISTING,"core/validation + tool-only discovery design","extend to real discovery audit log",WP-08
REQ-PRIN-04,MUST,EXISTING,"dataclass schemas + validators","extend schema coverage",WP-02
REQ-PRIN-05,MUST,EXISTING,"agent_specs/agent_protocol + report.py constraint","keep across new agents",WP-05;WP-20;WP-21
REQ-PRIN-06,MUST,EXISTING,"evidence/synthesis retains negatives","verify in cross-dataset synth",WP-19;WP-20
REQ-PRIN-07,MUST,PARTIAL,"alignment audit + ledgers","needs traceability index in reports",WP-21;WP-26
REQ-PRIN-08,MUST,EXISTING,"state.LEGAL_TERMINALS + failure tests","extend to replan",WP-25
REQ-OBJ-01,MUST,EXISTING,"schemas.ResearchSpec","add research_objective/secondary_endpoints/cell_type_scope fields",WP-02
REQ-OBJ-02,MUST,PARTIAL,"schemas.SubQuestion (minimal)","add required_evidence_types/success+failure criteria/priority",WP-02
REQ-OBJ-03,MUST,PARTIAL,"schemas.EvidencePlan (minimal)","add minimum_replication/validation_strategy/stop_conditions",WP-02
REQ-OBJ-04,MUST,EXISTING,"schemas.ResourceCandidate","ok",WP-02;WP-08
REQ-OBJ-05,MUST,PARTIAL,"schemas.DatasetProfile (minimal)","add full metadata fact set",WP-02;WP-09
REQ-OBJ-06,MUST,MISSING,"no DatasetFeasibilityReport object","model feasibility decision object",WP-02;WP-10
REQ-OBJ-07,MUST,EXISTING,"schemas.DatasetManifest locked+versioned","ok",WP-02;WP-10
REQ-OBJ-08,MUST,PARTIAL,"MethodContract dict in bulk_deg","promote to standalone contract schema/registry",WP-02;WP-11
REQ-OBJ-09,MUST,EXISTING,"schemas.CompatibilityDecision + registry","ok",WP-11
REQ-OBJ-10,MUST,PARTIAL,"schemas.WorkflowPlan task_ids only","add dependency edges + acyclicity",WP-02;WP-12
REQ-OBJ-11,MUST,PARTIAL,"Analysis/Engineering/Review packets","add DataPreparationTaskPacket",WP-02
REQ-OBJ-12,MUST,PARTIAL,"schemas.TaskRun (minimal)","add env/logs/exit/resource/retry fields",WP-02;WP-14
REQ-OBJ-13,MUST,EXISTING,"schemas.ArtifactManifest + core/artifacts","ok",WP-15
REQ-OBJ-14,MUST,EXISTING,"schemas.QCReport + qc_engine","ok",WP-18
REQ-OBJ-15,MUST,EXISTING,"schemas.EvidenceItem + admission gate","ok",WP-19
REQ-OBJ-16,MUST,EXISTING,"schemas.Claim + ceiling","ok",WP-20
